ID_Cliente;Nome;Email;Telefone;Data_de_Nascimento;Endereço;Renda_Mensal;Data_de_Cadastro;CPF;Idade
756;Dr. Eduardo da Luz;benicioteixeira@da.br;51 6927 3508;20/11/1965;Avenida de Nogueira, 27, Novo Santa Cecilia, 23293232 Fogaça / MS;3793.32;29/08/2022;817.349.526-28;59
739;Sra. Evelyn Silveira;marianealmeida@hotmail.com;0300-432-9686;02/02/1947;Jardim da Mata, 24, Vila São Paulo, 01548349 Ramos do Campo / RN;8416.89;26/10/2022;840.921.357-50;77
876;João Lucas Pires;alana65@hotmail.com;+55 (011) 7307 2493;19/12/2005;Largo de Barbosa, 81, Cenaculo, 49223-758 Sales / ES;5365.26;07/06/2021;139.542.087-41;18
476;Antônio Cavalcanti;barbara32@gmail.com;21 0478-7451;07/07/1971;Vale Luiza Moura, 49, Das Industrias I, 11565197 Porto do Galho / RS;3514.11;04/06/2020;486.275.391-46;53
65;Rodrigo Gomes;;(011) 3164-3855;18/04/1944;Esplanada Duarte, 97, Nova Granada, 57211825 Azevedo de Gomes / AM;6844.95;21/02/2023;205.843.961-98;80
319;Murilo Moreira;pintodiego@ig.com.br;0900 779 4708;27/11/1990;Viaduto Raquel Vieira, 72, Silveira, 33163886 Costela de da Paz / AP;5873.25;18/07/2020;;-10
159;Dr. João Vitor das Neves;falmeida@ferreira.org;(081) 7001-8899;11/09/1957;Vale de Melo, 83, Nazare, 55478-299 Azevedo / MT;1036.89;07/09/2021;348.561.209-05;67
219;Ana Lívia Nascimento;isabellasilveira@da.br;+55 21 4373-9674;11/09/1956;Vila Lima, Vila Da Amizade, 15914018 Cardoso / RR;1174.65;21/08/2023;318.640.952-70;68
627;Dra. Ana Júlia Araújo;cfernandes@goncalves.net;0800-139-0973;25/05/1951;Estação Davi Lucas da Costa, Vitoria, 91923789 Ribeiro / PI;8801.88;01/07/2024;605.783.421-62;73
773;Amanda Campos;gabrieldas-neves@araujo.com;(071) 4775 9273;11/08/1965;Jardim de Ferreira, 949, Vila Jardim São José, 29169839 Silveira / SP;1000000.0;28/02/2022;431.092.857-97;59
359;Kevin Melo;lcardoso@yahoo.com.br;+55 (084) 5945-0335;04/05/1958;Vereda Carolina das Neves, 792, Vila Esplanada, 87111-717 Azevedo Paulista / MT;6264.39;23/12/2023;184.570.296-49;66
56;Renan Aragão;maria-alice37@gmail.com;(031) 9778-0981;19/08/1963;Viaduto Guilherme Mendes, 54, Boa Viagem, 74121650 Rodrigues / TO;3223.83;22/07/2021;999.999.999-99;61
105;Pedro da Mota;isissilveira@martins.com;(031) 3704-4004;02/07/1999;Núcleo Campos, 947, Ouro Minas, 42365700 Rocha do Oeste / RO;2119.29;18/06/2024;108.652.974-01;25
328;João Felipe Azevedo;stellacastro@rocha.com;(061) 2993-1735;18/08/1966;Aeroporto Juliana Moreira, Vila Puc, 79277587 da Rocha / DF;5140.17;21/09/2022;125.986.734-09;58
856;João Guilherme Sales;ngomes@ig.com.br;41 4184 8752;05/02/1980;Feira Cardoso, 42, Santa Rita De Cássia, 12965-909 Pereira / AP;595.32;31/03/2022;502.634.719-34;44
507;Eduardo da Rosa;ana-laura00@barros.org;31 0726-7631;24/04/1991;Avenida de da Paz, 14, Alto Dos Pinheiros, 04494-311 Alves de Monteiro / AP;7161.06;09/04/2023;046.782.359-65;33
759;Maria Fernanda Teixeira;rnunes@jesus.com;+55 61 8625 7507;08/09/2005;Campo de Correia, 98, Vila São João Batista, 00454260 Pereira / SP;6459.96;05/07/2020;;19
415;Leandro Rodrigues;idias@peixoto.com;0900 975 5713;30/01/1944;Travessa da Costa, 3, Distrito Industrial Do Jatoba, 17829-914 Nascimento / RS;9767.43;18/01/2021;150.687.423-17;80
957;Marina Azevedo;rezendedaniel@yahoo.com.br;0800-747-7400;06/03/1986;Campo Pires, 69, Varzea Da Palma, 82744357 Fogaça / ES;8768.67;14/03/2021;432.567.809-38;38
454;Sr. Yago Cardoso;yasmin82@teixeira.br;81 8385-5794;13/11/1961;Pátio Anthony Barbosa, 449, Confisco, 03467048 Pereira / RN;9980.22;11/04/2024;942.085.137-05;63
909;Maria Eduarda Moura;mmelo@alves.org;21 9402 6247;20/02/2000;Setor Cunha, 81, Solimoes, 48832799 Lima / MG;281.67;24/03/2020;951.024.738-32;24
663;;brenda45@ig.com.br;81 4504 9142;14/12/1998;Distrito Moraes, Etelvina Carneiro, 10677179 Costa das Flores / RR;8029.44;12/01/2022;974.265.083-74;26
853;Pedro Lucas Porto;paulo69@bol.com.br;0800 654 5506;04/03/1949;Rodovia João Felipe Pires, Vila Engenho Nogueira, 75751960 da Mata / ES;2391.12;09/11/2020;650.419.387-84;75
843;Henrique Mendes;biancanovaes@goncalves.com;+55 84 6104 7421;24/05/1952;Distrito de Monteiro, Dom Bosco, 68844-487 Castro da Mata / ES;2054.1;11/05/2022;013.785.694-66;72
104;Ana das Neves;das-nevesemilly@uol.com.br;(084) 8815 5506;05/02/1948;Campo de Caldeira, 97, Campo Alegre, 32924-372 Porto / MG;6901.53;04/11/2023;036.214.587-35;76
138;Augusto Ribeiro;luiz-gustavodas-neves@uol.com.br;+55 61 0810 5137;17/06/1966;Distrito Novaes, São Marcos, 58547-899 das Neves / PB;;20/12/2022;891.724.360-69;58
304;Francisco Pires;;+55 61 8320-6020;06/09/1957;Núcleo Caldeira, 82, Vila Pinho, 39042180 Gomes de Ferreira / PB;2687.55;05/06/2021;830.729.416-96;67
666;Davi Lucas Costela;luiz-otavio68@carvalho.org;+55 (061) 6570 7647;06/02/1998;Vale Silveira, 730, Mala E Cuia, 39773-702 da Costa do Galho / AC;5312.37;09/06/2023;793.681.425-64;26
500;Bianca Rocha;da-pazluiz-felipe@santos.com;(061) 9610 0516;10/08/2005;Quadra Almeida, 523, Virgínia, 05922286 Araújo / AL;3060.24;19/01/2024;124.596.380-51;19
345;Dra. Luana da Costa;zfreitas@costa.org;+55 41 0120 7535;15/05/1995;Estação Teixeira, 61, Santa Margarida, 26678-829 Pires / SP;12100.74;30/04/2020;381.765.492-82;29
555;Luiz Fernando Duarte;marinaalves@uol.com.br;+55 (031) 5369 9919;28/11/1970;Jardim de Ferreira, 1, Aparecida, 77494-461 Mendes / CE;0.0;06/05/2020;726.938.450-92;54
892;Kaique das Neves;ldias@gmail.com;51 9603 9512;27/01/1958;Praia de Sales, 97, Vista Do Sol, 65296-770 Rocha de Minas / AL;5562.06;13/11/2023;413.590.826-89;66
553;Henrique Moura;aragaocecilia@bol.com.br;+55 41 6093 2833;20/08/1963;Aeroporto de Pires, 55, Vila Paquetá, 77965960 Azevedo / AL;8158.59;14/08/2022;071.364.925-99;61
962;Felipe da Rocha;teixeiraleandro@hotmail.com;+55 31 5612 3051;24/02/2005;Vereda Carvalho, 44, Olhos D'água, 72530875 Costa do Oeste / MA;6595.26;31/03/2022;539.620.741-80;19
590;Milena da Cunha;da-motaemilly@peixoto.com;+55 (084) 1046-5936;25/11/1989;Avenida Nogueira, Araguaia, 75049932 Freitas Alegre / SC;9088.47;20/09/2023;617.394.205-43;35
915;Helena da Cruz;beatriz65@caldeira.br;(081) 0233 8875;18/05/1963;Pátio de Cardoso, 10, Vila Copacabana, 45478489 Nunes / DF;9.84;23/07/2022;123.456.789-00;61
667;Fernanda da Paz;noahcunha@bol.com.br;(031) 0643-5358;21/04/1961;Esplanada Moura, 94, Conjunto Jardim Filadélfia, 76021391 Cavalcanti de Viana / TO;8130.3;07/01/2024;782.534.910-50;63
613;Daniela Lima;thiagocampos@pires.br;+55 (071) 3851 4854;09/03/1958;Vila Rezende, 60, Vila Bandeirantes, 54364-407 Peixoto / PI;12074.91;21/11/2021;742.698.031-69;66
109;Diogo Peixoto;carolina03@gmail.com;+55 (041) 8656 5183;16/10/1995;Parque Letícia Santos, 8, Vila Nova, 98720925 Azevedo / SP;626.07;04/11/2021;;29
902;Stephany Lopes;luigi47@alves.com;+55 11 5715 2808;30/06/1961;Viaduto de Porto, 22, Lagoinha Leblon, 73606-146 Silveira / RS;8982.69;06/10/2023;283.617.945-73;63
753;Ana Lívia Mendes;da-luzpedro-lucas@da.com;(051) 8506 1283;13/09/1956;Praia de Lopes, 969, Vila Atila De Paiva, 14148-014 Silva / MT;5809.29;31/01/2021;621.783.490-13;68
515;;daniel27@bol.com.br;+55 (081) 5537-4509;03/08/1980;Loteamento da Rosa, 60, Ouro Minas, 71278987 das Neves Paulista / PA;10629.66;14/12/2024;358.640.792-00;44
407;Calebe Rodrigues;nicole39@yahoo.com.br;(084) 5969-3670;27/03/1974;Lagoa de da Conceição, 67, Funcionários, 76343-393 da Paz de Novaes / MG;1100.85;28/07/2023;051.349.782-04;50
825;Maria Sophia da Luz;luccapeixoto@cunha.br;+55 (071) 9445 8915;08/06/1972;Distrito Cavalcanti, Mangabeiras, 94507025 Freitas / PI;11525.1;10/11/2021;046.289.375-83;52
2;Sra. Vitória Dias;wcaldeira@uol.com.br;(061) 5981 6895;06/05/1970;Trevo de Ramos, 784, Boa União 1ª Seção, 87923-809 da Rocha / RS;3466.14;19/11/2020;029.143.685-42;54
120;Pedro Lucas Lima;joao-miguel45@mendes.br;(081) 5183-2121;30/07/1977;Jardim da Luz, 853, São João, 20129520 Freitas / BA;1111.92;11/06/2020;;47
518;Juan Fernandes;camposmilena@ig.com.br;+55 (041) 3086-4011;03/08/1993;Campo Isadora Porto, 32, Vista Alegre, 67097-532 Silveira / RO;-500.0;21/12/2022;128.906.547-02;31
391;Giovanna da Paz;marianefogaca@ig.com.br;21 0775-8652;22/08/1945;Recanto Moraes, 225, Mirtes, 22031-198 Cunha / SP;11702.22;30/10/2021;978.120.534-23;79
135;;lucca75@bol.com.br;+55 71 2027 2779;09/11/1959;Colônia da Mata, 558, Guaratã, 17980019 Cardoso / PI;5858.49;06/07/2021;561.892.073-59;65
10;Ana Vitória Costela;rezendeluna@castro.com;11 1255 6147;23/04/1980;Rodovia Souza, 6, Glória, 35945073 da Luz das Pedras / TO;6297.6;05/09/2021;631.259.078-02;44
143;Bryan Lima;henriquepires@pereira.org;21 5462 4109;05/05/1993;Passarela de Rodrigues, 57, Piratininga, 51907-574 Cardoso das Pedras / AM;8381.22;18/09/2021;572.436.819-64;31
643;Sabrina Lima;anthony58@barbosa.net;41 3482 6126;10/09/1965;Distrito Dias, 437, Alpes, 32954511 da Rosa / RN;4207.83;09/02/2022;392.718.540-04;59
230;Stephany Cunha;juliaoliveira@gmail.com;+55 51 0361 0354;26/02/1991;Conjunto Emanuel Souza, 268, Lajedo, 75445870 Melo de Minas / SC;;28/09/2024;153.724.896-00;33
930;Yuri Melo;cauacunha@martins.com;+55 81 1492 2398;12/08/1955;Residencial de Moreira, Jardim Vitoria, 47704-960 Oliveira de Minas / AP;1548.57;07/12/2024;716.438.529-73;-5
380;Clara da Paz;barbosaana-vitoria@santos.br;+55 11 1952-1036;10/09/1962;Estrada Sophia Cardoso, 177, Ermelinda, 06163863 Rodrigues / DF;;04/09/2023;839.147.562-09;62
202;Pedro Lucas Jesus;laviniamoraes@hotmail.com;41 9532-4239;07/06/1968;Fazenda de Rezende, 6, João Paulo Ii, 25878127 Moura das Flores / RR;8349.24;07/11/2021;912.780.546-85;56
207;Joana Ribeiro;valentina11@araujo.net;+55 (031) 1143 2672;27/01/1959;Campo de Rodrigues, 2, Conjunto Novo Dom Bosco, 36679-067 Cunha / PB;3774.87;30/10/2020;831.697.450-93;65
619;João Aragão;peixotoyago@uol.com.br;51 5768 8063;29/08/1951;Setor Ana Luiza Cardoso, 68, Vale Do Jatoba, 95751-180 Alves das Flores / RN;9617.37;16/07/2021;504.928.316-70;73
145;Vitor Moraes;henriquepinto@lopes.com;+55 31 5273-5961;26/10/1952;Pátio de Gomes, 22, Centro, 50258-723 Castro / MA;302.58;28/03/2022;027.451.386-26;72
298;Yuri Teixeira;oliveirapietra@bol.com.br;+55 71 6595-1252;07/08/1957;Praça Thales Duarte, 686, Vila Nossa Senhora Do Rosário, 77858-049 Novaes dos Dourados / MG;6468.57;27/03/2023;379.482.015-05;67
602;Davi Lucas Pires;cardosoleandro@gmail.com;+55 71 8612-5039;14/05/1945;Loteamento Cardoso, 6, Vista Do Sol, 74155178 Fogaça de Araújo / AL;7098.33;23/06/2022;251.946.780-02;79
990;Juan Barros;marina87@fernandes.br;+55 51 9909 5295;25/06/2003;Rodovia de Mendes, 65, Vila Copasa, 75339-039 Nascimento / PB;11119.2;11/03/2024;260.734.185-07;21
638;Dr. João Guilherme Silva;fernandada-rosa@rodrigues.com;+55 (084) 7540 3822;12/05/2006;Loteamento de Silva, 373, Aarão Reis, 37284-159 Melo / MA;8375.07;02/10/2024;376.924.508-38;18
277;Ana Carolina Nascimento;lopespietro@porto.br;+55 41 6082-6404;29/06/1986;Avenida Enzo Rodrigues, 44, Pilar, 82757-657 da Mota / BA;9597.69;19/03/2021;259.631.408-89;38
200;Emanuella Vieira;isabellycampos@das.com;+55 (084) 2649-4587;27/12/1987;Campo Manuela Dias, 336, Petropolis, 87474146 Sales de Gomes / RJ;4665.39;26/11/2024;146.570.328-44;36
397;Sra. Daniela Fernandes;mcarvalho@bol.com.br;(061) 4953 4944;09/01/2002;Travessa da Cruz, 95, Caiçara - Adelaide, 55258-432 Moura / SP;4127.88;06/10/2022;843.021.765-71;22
631;Anthony Porto;maria-luizaduarte@gmail.com;(071) 3581-1982;09/09/1962;Rodovia Pereira, 434, Confisco, 13058734 da Costa / AM;4725.66;10/08/2020;345.296.017-06;62
803;Vicente da Mata;carvalhoana-clara@gmail.com;0500-976-4675;20/02/1995;Largo Gonçalves, Vila Satélite, 23030-464 da Cunha do Campo / BA;5904.0;12/10/2024;475.698.123-28;29
11;Dr. Lorenzo Martins;bda-luz@uol.com.br;+55 (051) 3539 3985;18/11/2006;Distrito Catarina da Rocha, 34, Grotinha, 15499130 Almeida / PI;10146.27;06/03/2020;;18
230;Stephany Cunha;juliaoliveira@gmail.com;+55 51 0361 0354;26/02/1991;Conjunto Emanuel Souza, 268, Lajedo, 75445870 Melo de Minas / SC;;28/09/2024;153.724.896-00;33
853;Pedro Lucas Porto;paulo69@bol.com.br;0800 654 5506;04/03/1949;Rodovia João Felipe Pires, Vila Engenho Nogueira, 75751960 da Mata / ES;2391.12;09/11/2020;650.419.387-84;75
902;Stephany Lopes;luigi47@alves.com;+55 11 5715 2808;30/06/1961;Viaduto de Porto, 22, Lagoinha Leblon, 73606-146 Silveira / RS;8982.69;06/10/2023;283.617.945-73;63
